mode,cycles,mean_error,max_error,pair_rms,triad_rms,viable,mid,ultra,singular,deep,very_deep,ultra_deep,access,spread,rollbacks,waste,reopen_events,phase_switches,runtime,seed,trial
hybrid,650,0.005478593478774956,0.0068741040966716115,0.001512497452812856,0.0015096093870248534,8,8,8,8,8,4,0,0.6450954292538218,0.08564034021397708,0,0.0,376,143,0.2610528999939561,20460615,7
hybrid,650,0.00588564765756725,0.008899101023582566,0.0027241656975518663,0.0036033256679004824,8,8,8,8,8,3,0,0.6426406791357797,0.08599941838506313,0,0.0,397,129,0.26312740000139456,20460616,8
hybrid,650,0.005422165148690225,0.006883053076518665,0.0024754220758382312,0.00295812567751663,8,8,8,8,8,4,0,0.6426691858056526,0.08613404009630345,0,0.0,372,155,0.2552386000024853,20460617,9
hybrid,650,0.005157084923154204,0.006553991338595528,0.0030426037203524093,0.0015453131536079345,8,8,8,8,8,4,0,0.6434017950496407,0.08606509853594368,0,0.0,198,147,0.2508411000017077,20460618,10
hybrid,650,0.005405356510249967,0.005968003808299743,0.0013894871591112802,0.003107189977279671,8,8,8,8,8,2,0,0.6449955137617382,0.08720828078975529,0,0.0,403,131,0.26793189998716116,20460619,11
hybrid,650,0.005257520822661722,0.005990247682917319,0.0031519875448702247,0.0013225602610736293,8,8,8,8,8,3,0,0.6465716160407731,0.08679750229498916,0,0.0,242,185,0.26053699999465607,20460620,12
hybrid,650,0.0053152174551740535,0.0059833918730284605,0.002553558149430716,0.001611235186269803,8,8,8,8,8,4,0,0.6455771831003416,0.08634404901472731,0,0.0,191,115,0.28499480000755284,20460621,13
hybrid,650,0.00579303647993553,0.007290348029430945,0.0032425359067438007,0.0022365294393762018,8,8,8,8,8,1,0,0.6446081148332885,0.0863659539768129,0,0.0,338,120,0.271142300000065,20460622,14
hybrid,650,0.005076040101308985,0.0059948799390780365,0.003132298909506232,0.001721535340272302,8,8,8,8,8,4,0,0.6437101248345584,0.08664696441440785,0,0.0,160,169,0.2536499000125332,20460623,15
hybrid,650,0.006395559635330233,0.01035603613036386,0.0011644502749872205,0.0051922757711182375,8,8,8,8,7,1,0,0.6473488882669447,0.08754307803551625,0,0.0,327,164,0.28214710000611376,20460624,16
hybrid,650,0.006384432962572836,0.010083313834921932,0.0013579286941692913,0.003579026072801215,8,8,8,8,7,1,0,0.6456093542400001,0.08717569320914964,0,0.0,346,208,0.25784430000931025,20460625,17
hybrid,650,0.0060284983083953025,0.008450741750456639,0.0013661160168897371,0.0041847947060558305,8,8,8,8,8,0,0,0.6453837341715367,0.08735383085928006,0,0.0,497,152,0.25482639999245293,20460626,18
hybrid,650,0.005613968046787331,0.00599730483326556,0.0024699518707871834,0.002255622677522846,8,8,8,8,8,1,0,0.642291304504691,0.08705935883414068,0,0.0,518,119,0.26459690000046976,20460627,19
hybrid,650,0.006026267145869766,0.0074315880195385976,0.001775267954228325,0.0034959658478252737,8,8,8,8,8,2,0,0.6467420622548936,0.08613133202483687,0,0.0,378,202,0.2592318999959389,20460628,20
